k0,,k1,,k2,,k3,,k4,,k5,,k6,,k7,,k8,,k9
0.252906,,0.02315,,0.089892,,0.219091,,0.203368,,0.171347,,0.097377,,0.137442,,0.184371,,0.195389
0.270723,,0.023222,,0.089719,,0.219043,,0.130482,,0.035715,,0.097377,,0.137684,,0.178721,,0.175471
0.276936,,0.023292,,0.089547,,0.218992,,0.096836,,0.021304,,0.097377,,0.137918,,0.177458,,0.175344
0.253012,,0.02336,,0.089378,,0.21894,,0.030925,,0.02794,,0.097377,,0.138146,,0.195037,,0.117149
0.271768,,0.023427,,0.08921,,0.218886,,0.025204,,0.015414,,0.097377,,0.138369,,0.158461,,0.175796
0.269385,,0.023493,,0.089044,,0.21883,,0.021003,,0.016663,,0.097377,,0.138586,,0.200576,,0.247135
0.255704,,0.023558,,0.08888,,0.218772,,0.017596,,0.015181,,0.097377,,0.138797,,0.164366,,0.192898
0.266924,,0.023621,,0.088718,,0.218712,,0.13482,,0.037464,,0.097377,,0.139004,,0.156881,,0.066839
0.254632,,0.023683,,0.088559,,0.21865,,0.039941,,0.015305,,0.097377,,0.139206,,0.168686,,0.037765
0.261963,,0.023744,,0.088401,,0.218586,,0.025739,,0.021576,,0.097377,,0.139403,,0.165761,,0.03138
0.228171,,0.023804,,0.088245,,0.21852,,0.023529,,0.015523,,0.097377,,0.139595,,0.157536,,0.028016
0.278517,,0.023862,,0.088091,,0.218452,,0.017419,,0.016435,,0.097377,,0.139782,,0.177587,,0.038461
0.232293,,0.02392,,0.087939,,0.218382,,0.012756,,0.021359,,0.097377,,0.139964,,0.180628,,0.026409
0.272595,,0.023976,,0.087788,,0.21831,,0.017365,,0.021416,,0.097377,,0.140142,,0.16702,,0.021123
0.238778,,0.024031,,0.087639,,0.218236,,0.0203,,0.019305,,0.097377,,0.140315,,0.165782,,0.022583
0.230584,,0.024084,,0.087492,,0.218161,,0.018466,,0.030337,,0.097377,,0.140483,,0.073201,,0.038156
0.235035,,0.024137,,0.087347,,0.218083,,0.019077,,0.013755,,0.097377,,0.140646,,0.156327,,0.017987
0.228125,,0.024188,,0.087203,,0.218003,,0.02383,,0.025771,,0.097377,,0.140805,,0.051165,,0.030213
0.229531,,0.024238,,0.087061,,0.217922,,0.018247,,0.014511,,0.097377,,0.140959,,0.063218,,0.033198
0.231757,,0.024287,,0.08692,,0.217839,,0.022638,,0.01346,,0.097377,,0.141108,,0.072476,,0.036215
,,,,,,,,,,,,,,,,,,
0.174659,,0.023775,,0.091006,,0.220316,,0.258364,,0.294007,,,,0.138121,,0.11597,,0.194561
0.174659,,0.023775,,0.091006,,0.220316,,0.258364,,0.294007,,,,0.138121,,0.116164,,0.194561
0.174659,,0.023775,,0.091006,,0.220316,,0.258364,,0.294007,,,,0.138121,,0.116352,,0.194561
